Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints
AAA LIFE INS CO,71854,Group Life,,1.6,"16,769,881",1.0
RELIASTAR LIFE INS CO,67105,Group Life,,1.6,"15,669,798",0.9
TRANSAMERICA LIFE INS CO,86231,Group Life,,4.9,"10,602,628",0.6
UNITEDHEALTHCARE INS CO,79413,Group Life,,1.6,"10,069,027",0.6
CONNECTICUT GEN LIFE INS CO,62308,Group Life,,3.3,"8,753,066",0.5
AMERICAN HERITAGE LIFE INS CO,60534,Group Life,,1.6,"5,956,308",0.3
SYMETRA LIFE INS CO,68608,Group Life,,1.6,"3,365,280",0.2
CMFG LIFE INS CO,62626,Group Life,,1.6,"2,842,515",0.2
ALLSTATE LIFE INS CO,60186,Group Life,,3.3,"2,159,962",0.1
DEARBORN NATL LIFE INS CO,71129,Group Life,,1.6,"826,450",0.0
JACKSON NATL LIFE INS CO,65056,Group Life,,1.6,"767,000",0.0
RELIASTAR LIFE INS CO OF NY,61360,Group Life,,1.6,"284,645",0.0
KANAWHA INS CO,65110,Group Life,,3.3,"208,305",0.0
PROVIDENT LIFE & ACCIDENT INS CO,68195,Group Life,,1.6,"119,563",0.0
AMERICAN BANKERS LIFE ASSUR CO OF,60275,Group Life,,1.6,"92,197",0.0
GENWORTH LIFE & ANN INS CO,65536,Group Life,,1.6,"36,794",0.0
WASHINGTON NATL INS CO,70319,Group Life,,1.6,"14,329",0.0
WILCO LIFE INS CO,65900,Group Life,1.6,183,0.0,"155,031.98"
MANHATTAN LIFE INS CO,65870,Group Life,1.6,59,0.0,"480,861.92"
BRIGHTHOUSE LIFE INS CO,87726,Group Life,1.6,0,0.0,
FIDELITY INVESTMENTS LIFE INS CO,93696,Group Life,1.6,0,0.0,
STONEBRIDGE LIFE INS CO,65021,Group Life,1.6,0,0.0,
UNIVERSAL PROP & CAS INS,10861,Homeowner,11.2,"781,475,443",8.9,1.26
STATE FARM FL INS CO,10739,Homeowner,2.9,"581,448,453",6.6,0.44
FEDERATED NATL INS CO,10790,Homeowner,4.1,"430,041,366",4.9,0.84
CITIZENS PROP INS CORP,10064,Homeowner,12.9,"428,723,564",4.9,2.65
HERITAGE PROP & CAS INS CO,14407,Homeowner,5.1,"398,205,621",4.5,1.13
HOMEOWNERS CHOICE PROP & CAS INS C,12944,Homeowner,2.7,"321,567,787",3.7,0.75
SECURITY FIRST INS CO,10117,Homeowner,4.5,"294,492,248",3.3,1.33
UNITED PROP & CAS INS CO,10969,Homeowner,5.9,"281,034,338",3.2,1.84
FLORIDA PENINSULA INS CO,10132,Homeowner,3.5,"253,873,944",2.9,1.22
FIRST PROTECTIVE INS CO,10897,Homeowner,1.0,"244,861,536",2.8,0.36
UNITED SERV AUTOMOBILE ASSN,25941,Homeowner,0.1,"244,399,348",2.8,0.05
PEOPLES TRUST INS CO,13125,Homeowner,3.3,"243,905,349",2.8,1.19
ST JOHNS INS CO INC,11844,Homeowner,2.3,"227,150,119",2.6,0.89
TOWER HILL PRIME INS CO,11027,Homeowner,2.3,"211,586,668",2.4,0.95
AMERICAN INTEGRITY INS CO OF FL,12841,Homeowner,5.1,"184,493,005",2.1,2.42
FEDERAL INS CO,20281,Homeowner,0.1,"184,393,345",2.1,0.04
ASI PREFERRED INS CORP,13142,Homeowner,0.5,"125,703,484",1.4,0.33
USAA CAS INS CO,25968,Homeowner,0.2,"124,903,574",1.4,0.15
OLYMPUS INS CO,12954,Homeowner,1.8,"116,658,112",1.3,1.36
TOWER HILL PREFERRED INS CO,29050,Homeowner,1.6,"112,497,312",1.3,1.24
TOWER HILL SIGNATURE INS CO,12538,Homeowner,1.3,"109,617,437",1.2,1.02
TOWER HILL SELECT INS CO,12011,Homeowner,1.7,"105,023,614",1.2,1.44
CASTLE KEY INS CO,30511,Homeowner,1.8,"99,752,165",1.1,1.57
AUTO CLUB INS CO OF FL,12813,Homeowner,0.5,"99,586,380",1.1,0.45
LEXINGTON INS CO,19437,Homeowner,0.1,"93,175,910",1.1,0.08
GULFSTREAM PROP & CAS INS CO,12237,Homeowner,0.4,"89,770,036",1.0,0.41
FLORIDA FAMILY INS CO,10688,Homeowner,0.9,"88,937,702",1.0,0.92
PROGRESSIVE PROP INS CO,13038,Homeowner,0.7,"81,508,688",0.9,0.71
SAFEPOINT INS CO,15341,Homeowner,1.0,"70,421,398",0.8,1.27
CASTLE KEY IND CO,10835,Homeowner,0.5,"69,645,087",0.8,0.59
SOUTHERN FIDELITY PROP & CAS INC,14166,Homeowner,1.2,"69,401,346",0.8,1.56
OMEGA INS CO,38644,Homeowner,0.5,"69,194,392",0.8,0.62
SOUTHERN OAK INS CO,12247,Homeowner,0.6,"68,728,680",0.8,0.81
FLORIDA FARM BUREAU CAS INS CO,31216,Homeowner,0.2,"64,545,966",0.7,0.26
AMERICAN STRATEGIC INS CORP,10872,Homeowner,0.7,"63,263,497",0.7,1.00
UNIVERSAL INS CO OF NA,11986,Homeowner,0.8,"62,659,001",0.7,1.19
CYPRESS PROP & CAS INS CO,10953,Homeowner,0.4,"62,134,356",0.7,0.63
SAFE HARBOR INS CO,12563,Homeowner,0.8,"57,788,969",0.7,1.26
PREPARED INS CO,13687,Homeowner,0.5,"57,734,874",0.7,0.81
SOUTHERN FIDELITY INS CO INC,10136,Homeowner,1.6,"57,006,496",0.6,2.51
ACE INS CO OF THE MIDWEST,26417,Homeowner,0.0,"56,310,602",0.6,0.03
GEOVERA SPECIALTY INS CO,10182,Homeowner,0.1,"54,111,882",0.6,0.10
LIBERTY MUT FIRE INS CO,23035,Homeowner,0.3,"51,432,354",0.6,0.43
FLORIDA FARM BUR GEN INS CO,21817,Homeowner,0.3,"50,543,516",0.6,0.48
ELEMENTS PROPERTY INS CO,15312,Homeowner,1.0,"49,371,569",0.6,1.85
AMERICAN TRADITIONS INS CO,12359,Homeowner,1.1,"48,729,981",0.6,1.95
EDISON INS CO,12482,Homeowner,0.3,"47,147,063",0.5,0.51
FOREMOST INS CO GRAND RAPIDS MI,11185,Homeowner,0.1,"46,161,093",0.5,0.28
ANCHOR PROP & CAS INS CO,15617,Homeowner,0.6,"45,802,754",0.5,1.10
AMICA MUT INS CO,19976,Homeowner,0.1,"43,226,949",0.5,0.26
AMERICAN BANKERS INS CO OF FL,10111,Homeowner,0.4,"42,326,510",0.5,0.88
MODERN USA INS CO,12957,Homeowner,0.7,"42,241,979",0.5,1.37
NATIONWIDE INS CO OF FL,10948,Homeowner,0.3,"40,589,366",0.5,0.60
HARTFORD INS CO OF THE MIDWEST,37478,Homeowner,0.3,"39,153,562",0.4,0.57
ASI ASSUR CORP,12196,Homeowner,0.5,"38,821,299",0.4,1.15
FIRST COMMUNITY INS CO,13990,Homeowner,0.3,"37,637,396",0.4,0.69
MOUNT BEACON INS CO,15592,Homeowner,0.5,"36,405,535",0.4,1.23
SAWGRASS MUTUAL INS CO,13619,Homeowner,0.7,"33,173,942",0.4,1.85
CAPITOL PREFERRED INS CO,10908,Homeowner,0.8,"32,050,270",0.4,2.32
QBE SPECIALTY INS CO,11515,Homeowner,0.0,"29,731,429",0.3,0.06
FLORIDA SPECIALTY INS CO,17248,Homeowner,0.2,"27,290,359",0.3,0.55
AVATAR PROP & CAS INS CO,13139,Homeowner,0.5,"26,522,535",0.3,1.75
FIRST LIBERTY INS CORP,33588,Homeowner,0.1,"24,055,467",0.3,0.54
FIRST FLORIDIAN AUTO & HOME INS CO,10647,Homeowner,0.2,"21,131,580",0.2,0.97
FOREMOST PROP & CAS INS CO,11800,Homeowner,0.0,"18,942,514",0.2,0.10
METROPOLITAN CAS INS CO,40169,Homeowner,0.1,"15,220,619",0.2,0.86
CENTAURI SPECIALTY INS CO,12573,Homeowner,0.1,"14,672,255",0.2,0.51
AMERICAN MODERN INS CO OF FL,12314,Homeowner,0.0,"14,576,269",0.2,0.13
NATIONAL FIRE & MARINE INS CO,20079,Homeowner,0.0,"13,527,397",0.2,0.28
STILLWATER PROP & CAS INS CO,16578,Homeowner,0.1,"13,053,553",0.1,0.57
USAA GEN IND CO,18600,Homeowner,0.0,"12,188,227",0.1,0.31
SCOTTSDALE INS CO,41297,Homeowner,0.0,"7,906,698",0.1,0.47
ARMED FORCES INS EXCH,41459,Homeowner,0.0,"7,338,547",0.1,0.25
AMERICAN SOUTHERN HOME INS CO,41998,Homeowner,0.0,"6,468,599",0.1,0.58
VOYAGER IND INS CO,40428,Homeowner,0.0,"5,230,702",0.1,0.36
PRAETORIAN INS CO,37257,Homeowner,0.1,"4,241,822",0.0,2.19
KINSALE INS CO,38920,Homeowner,0.0,"4,059,469",0.0,0.92
NATIONAL SPECIALTY INS CO,22608,Homeowner,0.0,"3,653,344",0.0,1.02
IDS PROP CAS INS CO,29068,Homeowner,0.0,"2,810,798",0.0,1.32
NEW HAMPSHIRE INS CO,23841,Homeowner,0.0,"2,767,424",0.0,0.67
ASI HOME INS CORP,11072,Homeowner,0.0,"2,587,724",0.0,0.72
CHUBB CUSTOM INS CO,38989,Homeowner,0.0,"2,009,959",0.0,0.93
THE CINCINNATI INS CO,10677,Homeowner,0.0,"1,689,219",0.0,1.10
AEGIS SECURITY INS CO,33898,Homeowner,0.0,"968,662",0.0,1.92
OLD DOMINION INS CO,40231,Homeowner,0.0,"946,610",0.0,1.97
HARTFORD CAS INS CO,29424,Homeowner,0.1,"270,103",0.0,20.68
STILLWATER INS CO,25180,Homeowner,0.1,"142,993",0.0,39.06
RESPONSE INS CO,43044,Homeowner,0.0,"125,850",0.0,14.79
CANOPIUS US INS,12961,Homeowner,0.0,"36,692",0.0,50.74
AMERICAN SECURITY INS CO,42978,Homeowner,0.0,"27,067",0.0,137.56
HARTFORD FIRE INS CO,19682,Homeowner,0.0,"13,860",0.0,268.65
AIG ASSUR CO,40258,Homeowner,0.0,0,0.0,
ALLSTATE FIRE & CAS INS CO,29688,Homeowner,0.0,0,0.0,
ALLSTATE IND CO,19240,Homeowner,0.0,0,0.0,
AMERICAN COLONIAL INS CO,31151,Homeowner,0.0,0,0.0,
AMERICAN MERCURY INS CO,16810,Homeowner,0.0,0,0.0,
AMERICAN RELIABLE INS CO,19615,Homeowner,0.1,0,0.0,
AMERICAN STATES INS CO,19704,Homeowner,0.0,0,0.0,
AMERICAN STATES PREFERRED INS CO,37214,Homeowner,0.0,0,0.0,
ASSUR CO OF AMERICA,19305,Homeowner,0.0,0,0.0,
AUTO OWNERS INS CO,18988,Homeowner,0.1,0,0.0,
BALBOA INS CO,24813,Homeowner,0.0,0,0.0,
BANKERS INS CO,33162,Homeowner,0.0,0,0.0,
BANKERS STANDARD FIRE AND MARINE C,20591,Homeowner,0.0,0,0.0,
FRONTLINE INS UNLIMITED CO,10074,Homeowner,0.2,0,0.0,
GREAT AMER INS CO OF NY,22136,Homeowner,0.0,0,0.0,
GUIDEONE MUT INS CO,15032,Homeowner,0.0,0,0.0,
HOMESITE INS CO OF FL,11156,Homeowner,0.0,0,0.0,
INDEMNITY INS CO OF NORTH AMER,43575,Homeowner,0.0,0,0.0,
LIBERTY AMERICAN INS CO,10955,Homeowner,0.0,0,0.0,
LIBERTY MUT INS CO,23043,Homeowner,0.4,0,0.0,
METROMILE INS CO,16187,Homeowner,0.0,0,0.0,
METROPOLITAN PROP & CAS INS CO,26298,Homeowner,0.0,0,0.0,
NATIONWIDE PROP & CAS INS CO,37877,Homeowner,0.0,0,0.0,
PHILADELPHIA IND INS CO,18058,Homeowner,0.0,0,0.0,
QBE INS CORP,39217,Homeowner,0.1,0,0.0,
SECURITY NATL INS CO,33120,Homeowner,0.0,0,0.0,
SELECTIVE INS CO OF THE SOUTHEAST,39926,Homeowner,0.0,0,0.0,
STANDARD FIRE INS CO,19070,Homeowner,0.0,0,0.0,
STATE FARM FIRE & CAS CO,25143,Homeowner,0.2,0,0.0,
STATE FARM GEN INS CO,25151,Homeowner,0.1,0,0.0,
TRAVELERS CAS & SURETY CO,19038,Homeowner,0.0,0,0.0,
TRAVELERS PROP CAS INS CO,36161,Homeowner,0.0,0,0.0,
UNDERWRITERS AT LLOYD'S LONDON,15642,Homeowner,0.1,0,0.0,
UNITED CAS INS CO OF AMER,11142,Homeowner,0.1,0,0.0,
WRIGHT NATL FLOOD INS CO,11523,Homeowner,0.0,0,0.0,
FIREMANS FUND INS CO,21873,Homeowner,0.0,"-571,460",,
BCBS OF FL,98167,Individual Accident and Health,29.2,"3,438,068,744",31.8,0.92
HEALTH OPTIONS INC,95089,Individual Accident and Health,9.5,"1,033,221,757",9.6,0.99
HUMANA MEDICAL PLAN INC,95270,Individual Accident and Health,8.3,"1,008,542,794",9.3,0.89
COVENTRY HLTH CARE OF FL INC,95114,Individual Accident and Health,4.6,"785,193,523",7.3,0.64
MOLINA HLTHCARE OF FL INC,13128,Individual Accident and Health,3.1,"596,396,773",5.5,0.55
UNITED HLTHCARE OF FL INC,95264,Individual Accident and Health,11.6,"577,909,589",5.4,2.17
AMERICAN FAMILY LIFE ASSUR CO OF C,60380,Individual Accident and Health,0.4,"320,851,798",3.0,0.14
CELTIC INS CO,80799,Individual Accident and Health,0.7,"259,553,304",2.4,0.31
AETNA HLTH INC FL CORP,95088,Individual Accident and Health,1.2,"168,908,333",1.6,0.78
GENWORTH LIFE INS CO,70025,Individual Accident and Health,0.4,"135,317,771",1.3,0.35
CIGNA HLTH & LIFE INS CO,67369,Individual Accident and Health,1.8,"135,309,257",1.3,1.46
CONNECTICUT GEN LIFE INS CO,62308,Individual Accident and Health,0.4,"129,385,695",1.2,0.36
AVMED INC,95263,Individual Accident and Health,0.5,"126,619,357",1.2,0.40
JOHN HANCOCK LIFE INS CO USA,65838,Individual Accident and Health,0.3,"114,010,422",1.1,0.31
UNITED AMER INS CO,92916,Individual Accident and Health,0.3,"96,747,938",0.9,0.30
WELLCARE OF FL INC,95081,Individual Accident and Health,0.3,"91,676,326",0.8,0.39
COLONIAL LIFE & ACCIDENT INS CO,62049,Individual Accident and Health,0.1,"91,160,550",0.8,0.13
FLORIDA HLTH CARE PLAN INC,13567,Individual Accident and Health,0.1,"76,565,475",0.7,0.19
UNITEDHEALTHCARE LIFE INS CO,97179,Individual Accident and Health,0.8,"74,208,303",0.7,1.11
HEALTH FIRST HLTH PLANS INC,15880,Individual Accident and Health,0.1,"73,743,644",0.7,0.12
BANKERS LIFE & CAS CO,61263,Individual Accident and Health,0.6,"73,279,752",0.7,0.88
AMERIGROUP FL INC,95093,Individual Accident and Health,0.1,"67,599,027",0.6,0.22
NORTHWESTERN MUT LIFE INS CO,67091,Individual Accident and Health,0.0,"66,705,643",0.6,0.04
COLONIAL PENN LIFE INS CO,62065,Individual Accident and Health,0.2,"65,118,989",0.6,0.36
METROPOLITAN LIFE INS CO,65978,Individual Accident and Health,0.4,"60,513,532",0.6,0.78
TIME INS CO,69477,Individual Accident and Health,1.4,"52,877,682",0.5,2.95
PROVIDENT LIFE & ACCIDENT INS CO,68195,Individual Accident and Health,0.0,"49,928,242",0.5,0.06
MUTUAL OF OMAHA INS CO,71412,Individual Accident and Health,0.1,"47,537,369",0.4,0.25
FLORIDA COMBINED LIFE INS CO INC,76031,Individual Accident and Health,1.0,"45,478,824",0.4,2.27
AMERICAN HERITAGE LIFE INS CO,60534,Individual Accident and Health,0.4,"44,614,681",0.4,0.86
STATE FARM MUT AUTO INS CO,25178,Individual Accident and Health,0.1,"41,318,721",0.4,0.14
HUMANA HLTH INS CO OF FL INC,69671,Individual Accident and Health,1.0,"35,105,708",0.3,3.11
BERKSHIRE LIFE INS CO OF AMER,71714,Individual Accident and Health,0.0,"29,981,094",0.3,0.10
MASSACHUSETTS MUT LIFE INS CO,65935,Individual Accident and Health,0.1,"29,185,959",0.3,0.40
WASHINGTON NATL INS CO,70319,Individual Accident and Health,0.2,"27,508,757",0.3,0.75
TRANSAMERICA LIFE INS CO,86231,Individual Accident and Health,0.2,"26,347,456",0.2,1.01
TRUSTMARK INS CO,61425,Individual Accident and Health,0.0,"25,951,431",0.2,0.11
CONTINENTAL CAS CO,20443,Individual Accident and Health,0.2,"24,638,207",0.2,0.84
BRIGHTHOUSE LIFE INS CO,87726,Individual Accident and Health,0.2,"20,718,865",0.2,1.28
UNUM LIFE INS CO OF AMER,62235,Individual Accident and Health,0.1,"19,690,312",0.2,0.30
CONSTITUTION LIFE INS CO,62359,Individual Accident and Health,0.3,"18,498,527",0.2,1.75
COMBINED INS CO OF AMER,62146,Individual Accident and Health,0.1,"17,866,263",0.2,0.82
RIVERSOURCE LIFE INS CO,65005,Individual Accident and Health,0.1,"17,756,810",0.2,0.33
NEW YORK LIFE INS CO,66915,Individual Accident and Health,0.1,"15,803,700",0.1,0.37
JOHN HANCOCK LIFE & HLTH INS CO,93610,Individual Accident and Health,0.2,"15,768,009",0.1,1.31
LIBERTY NATL LIFE INS CO,65331,Individual Accident and Health,0.1,"13,679,950",0.1,0.86
STANDARD INS CO,69019,Individual Accident and Health,0.0,"13,446,659",0.1,0.22
GUARDIAN LIFE INS CO OF AMER,64246,Individual Accident and Health,0.2,"12,627,710",0.1,1.87
CHESAPEAKE LIFE INS CO,61832,Individual Accident and Health,0.1,"12,245,940",0.1,0.96
GERBER LIFE INS CO,70939,Individual Accident and Health,0.0,"12,036,339",0.1,0.24
TRANSAMERICA PREMIER LIFE INS CO,66281,Individual Accident and Health,0.1,"11,740,066",0.1,1.25
PRUDENTIAL INS CO OF AMER,68241,Individual Accident and Health,0.2,"11,178,794",0.1,1.58
ALLIANZ LIFE INS CO OF N AMER,90611,Individual Accident and Health,0.1,"10,205,858",0.1,0.87
UNION SECURITY INS CO,70408,Individual Accident and Health,0.1,"10,007,406",0.1,0.59
UNITED OF OMAHA LIFE INS CO,69868,Individual Accident and Health,0.1,"9,617,690",0.1,0.61
CONTINENTAL LIFE INS CO BRENTWOOD,68500,Individual Accident and Health,0.0,"9,212,674",0.1,0.32
GOLDEN RULE INS CO,62286,Individual Accident and Health,0.7,"9,044,036",0.1,8.80
SENIOR HLTH INS CO OF PA,76325,Individual Accident and Health,0.4,"8,186,447",0.1,5.76
PHYSICIANS MUT INS CO,80578,Individual Accident and Health,0.1,"8,087,097",0.1,0.73
MEDICO INS CO,31119,Individual Accident and Health,0.1,"7,662,053",0.1,0.77
AMERICAN GEN LIFE INS CO,60488,Individual Accident and Health,0.4,"7,543,456",0.1,6.25
AMERITAS LIFE INS CORP,61301,Individual Accident and Health,0.0,"5,407,378",0.1,0.54
PROTECTIVE LIFE INS CO,68136,Individual Accident and Health,0.1,"5,351,276",0.0,1.65
HCC LIFE INS CO,92711,Individual Accident and Health,0.2,"4,643,335",0.0,5.08
AETNA LIFE INS CO,60054,Individual Accident and Health,0.5,"4,353,152",0.0,11.51
CMFG LIFE INS CO,62626,Individual Accident and Health,0.1,"4,304,963",0.0,2.74
USABLE LIFE,94358,Individual Accident and Health,0.0,"4,216,615",0.0,0.70
NATIONAL TEACHERS ASSOC LIFE INS C,87963,Individual Accident and Health,0.0,"4,174,742",0.0,0.71
LINCOLN BENEFIT LIFE CO,65595,Individual Accident and Health,0.1,"4,032,380",0.0,1.46
KANAWHA INS CO,65110,Individual Accident and Health,0.2,"3,934,698",0.0,6.74
OXFORD LIFE INS CO,76112,Individual Accident and Health,0.0,"3,826,303",0.0,0.77
AMERICAN INCOME LIFE INS CO,60577,Individual Accident and Health,0.0,"3,424,830",0.0,0.86
LINCOLN NATL LIFE INS CO,65676,Individual Accident and Health,0.1,"3,077,884",0.0,3.83
GENWORTH LIFE & ANN INS CO,65536,Individual Accident and Health,0.0,"3,049,527",0.0,0.97
JACKSON NATL LIFE INS CO,65056,Individual Accident and Health,0.0,"2,959,242",0.0,1.00
FAMILY LIFE INS CO,63053,Individual Accident and Health,0.1,"2,711,722",0.0,2.17
UNITED SECURITY ASSUR CO OF PA,42129,Individual Accident and Health,0.0,"2,664,093",0.0,1.11
CENTRAL STATES H & L CO OF OMAHA,61751,Individual Accident and Health,0.1,"2,600,442",0.0,2.27
HEARTLAND NATL LIFE INS CO,66214,Individual Accident and Health,0.0,"2,535,530",0.0,1.16
GLOBE LIFE & ACCIDENT INS CO,91472,Individual Accident and Health,0.1,"2,247,048",0.0,2.62
LOYAL AMER LIFE INS CO,65722,Individual Accident and Health,0.1,"2,236,928",0.0,2.63
PYRAMID LIFE INS CO,68284,Individual Accident and Health,0.1,"1,279,101",0.0,4.61
UNITED INS CO OF AMER,69930,Individual Accident and Health,0.0,"1,180,993",0.0,2.49
TIAA CREF LIFE INS CO,60142,Individual Accident and Health,0.0,"895,154",0.0,3.29
STANDARD SECURITY LIFE INS CO OF N,69078,Individual Accident and Health,0.1,"881,095",0.0,13.38
FREEDOM LIFE INS CO OF AMER,62324,Individual Accident and Health,0.3,"861,015",0.0,37.64
RESERVE NATL INS CO,68462,Individual Accident and Health,0.0,"539,937",0.0,5.46
STARMOUNT LIFE INS CO,68985,Individual Accident and Health,0.1,"503,749",0.0,11.70
INTEGON IND CORP,22772,Individual Accident and Health,0.1,"456,310",0.0,25.83
GREAT AMER LIFE INS CO,63312,Individual Accident and Health,0.0,"432,450",0.0,6.81
AETNA HLTH & LIFE INS CO,78700,Individual Accident and Health,0.0,"400,964",0.0,7.35
ATHENE ANN & LIFE CO,61689,Individual Accident and Health,0.0,"286,100",0.0,10.30
MANHATTANLIFE ASSUR CO OF AMER,61883,Individual Accident and Health,0.1,"255,742",0.0,57.60
COVENTRY HLTH PLAN OF FL INC,95266,Individual Accident and Health,0.4,"212,772",0.0,221.55
LIFE INS CO OF N AMER,65498,Individual Accident and Health,0.1,"201,371",0.0,29.26
UNIFIED LIFE INS CO,11121,Individual Accident and Health,0.4,"197,713",0.0,193.72
FEDERAL INS CO,20281,Individual Accident and Health,0.0,"105,926",0.0,27.81
AAA LIFE INS CO,71854,Individual Accident and Health,0.0,"63,790",0.0,46.19
ALLSTATE LIFE INS CO,60186,Individual Accident and Health,0.0,"60,038",0.0,49.07
CIGNA HLTHCARE OF FL INC,95136,Individual Accident and Health,0.0,"53,992",0.0,54.57
LIFE OF THE SOUTH INS CO,97691,Individual Accident and Health,0.0,"37,067",0.0,79.48
HARTFORD LIFE & ACCIDENT INS CO,70815,Individual Accident and Health,0.1,"19,667",0.0,299.61
HARTFORD LIFE INS CO,88072,Individual Accident and Health,0.0,"15,571",0.0,189.21
RELIASTAR LIFE INS CO,67105,Individual Accident and Health,0.0,"10,385",0.0,283.70
RELIANCE STANDARD LIFE INS CO,68381,Individual Accident and Health,0.2,"10,208",0.0,"1,731.72"
AMERICAN HLTH & LIFE INS CO,60518,Individual Accident and Health,0.0,"6,058",0.0,486.34
COMPANION LIFE INS CO,77828,Individual Accident and Health,0.4,"1,575",0.0,"24,318.08"
LIFE INS CO OF THE SOUTHWEST,65528,Individual Accident and Health,0.0,211,0.0,"13,963.17"
AETNA HLTH INS CO,72052,Individual Accident and Health,0.1,0,0.0,
AETNA INS CO OF CT,36153,Individual Accident and Health,0.0,0,0.0,
AIG PROP CAS CO,19402,Individual Accident and Health,0.0,0,0.0,
AMERICAN INS CO,21857,Individual Accident and Health,0.0,0,0.0,
AMERICAN PIONEER LIFE INS CO,60763,Individual Accident and Health,0.1,0,0.0,
AMERICAN SPECIALTY HLTH INS CO,84697,Individual Accident and Health,0.0,0,0.0,
BEACON HEALTH STRATEGIES LLC,14267,Individual Accident and Health,0.0,0,0.0,
BETTER HLTH INC,15480,Individual Accident and Health,0.1,0,0.0,
BUPA INS CO,81647,Individual Accident and Health,0.1,0,0.0,
BUPA INS LIMITED CO,13596,Individual Accident and Health,0.0,0,0.0,
CAPITAL HLTH PLAN INC,95112,Individual Accident and Health,0.1,0,0.0,
CAREPLUS HLTH PLANS INC,95092,Individual Accident and Health,0.2,0,0.0,
COMPBENEFITS CO,52015,Individual Accident and Health,0.2,0,0.0,
COVENTRY SUMMIT HEALTH PLAN INC,10771,Individual Accident and Health,0.1,0,0.0,
DELTA DENTAL INS CO,81396,Individual Accident and Health,0.6,0,0.0,
EVEREST REINS CO,26921,Individual Accident and Health,0.0,0,0.0,
FLORIDA TRUE HLTH INC,14378,Individual Accident and Health,0.1,0,0.0,
FREEDOM HLTH INC,10119,Individual Accident and Health,0.2,0,0.0,
HEALTH FIRST HEALTH PLANS INC,95019,Individual Accident and Health,0.2,0,0.0,
HEALTH OPTIONS CONNECT INC,95014,Individual Accident and Health,0.0,0,0.0,
HEALTH SUN HLTH PLANS,10122,Individual Accident and Health,0.0,0,0.0,
HEALTHSPRING LIFE & HLTH INS CO IN,12902,Individual Accident and Health,0.1,0,0.0,
HUMANA ADVANTAGECARE PLAN INC,10126,Individual Accident and Health,0.0,0,0.0,
HUMANADENTAL INS CO,70580,Individual Accident and Health,0.2,0,0.0,
JOHN HANCOCK LIFE INS CO,65099,Individual Accident and Health,0.1,0,0.0,
LIBERTY LIFE ASSUR CO OF BOSTON,65315,Individual Accident and Health,0.0,0,0.0,
LIBERTY MUT INS CO,23043,Individual Accident and Health,0.0,0,0.0,
MEDICA HLTH PLANS OF FL INC,12756,Individual Accident and Health,0.0,0,0.0,
MEDICA HLTHCARE PLANS INC,12155,Individual Accident and Health,0.1,0,0.0,
NATIONAL STATES INS CO,60593,Individual Accident and Health,0.1,0,0.0,
NEIGHBORHOOD HLTH PARTNERSHIP INC,95123,Individual Accident and Health,0.2,0,0.0,
OPTIMUM HLTHCARE INC,12259,Individual Accident and Health,0.1,0,0.0,
PENN TREATY NTWRK AMER INS CO,63282,Individual Accident and Health,0.1,0,0.0,
PREFERRED CARE PARTNERS INC,11176,Individual Accident and Health,0.1,0,0.0,
PREFERRED MEDICAL PLAN INC,95271,Individual Accident and Health,0.7,0,0.0,
RENAISSANCE LIFE & HLTH INS CO OF,61700,Individual Accident and Health,0.0,0,0.0,
SAFEGUARD HLTH PLANS INC,52009,Individual Accident and Health,0.1,0,0.0,
SECURITY LIFE INS CO OF AMERICA,68721,Individual Accident and Health,0.0,0,0.0,
SILVERSCRIPT INS CO,12575,Individual Accident and Health,0.0,0,0.0,
SIMPLY HLTHCARE PLANS INC,13726,Individual Accident and Health,0.1,0,0.0,
SOLSTICE BENEFITS INC,12341,Individual Accident and Health,0.5,0,0.0,
STATE FARM LIFE INS CO,69108,Individual Accident and Health,0.0,0,0.0,
STONEBRIDGE LIFE INS CO,65021,Individual Accident and Health,0.0,0,0.0,
SUNSHINE HLTH COMM SOLUTIONS INC,15927,Individual Accident and Health,0.1,0,0.0,
TECHNOLOGY INS CO INC,42376,Individual Accident and Health,0.0,0,0.0,
THRIVENT FINANCIAL FOR LUTHERANS,56014,Individual Accident and Health,0.0,0,0.0,
TOTAL HEALTH CHOICE INC,95134,Individual Accident and Health,0.0,0,0.0,
UNITED STATES FIRE INS CO,21113,Individual Accident and Health,0.0,0,0.0,
UNITED TEACHER ASSOC INS CO,63479,Individual Accident and Health,0.0,0,0.0,
UNITEDHEALTHCARE INS CO,79413,Individual Accident and Health,2.2,0,0.0,
US BR SUN LIFE ASSUR CO OF CANADA,80802,Individual Accident and Health,0.0,0,0.0,
WELLCARE HLTH INS OF AZ INC,83445,Individual Accident and Health,0.1,0,0.0,
WELLCARE PRESCRIPTION INS INC,10155,Individual Accident and Health,0.0,0,0.0,
HUMANA INS CO,73288,Individual Accident and Health,1.5,"-31,950",,
COVENTRY HLTH & LIFE INS CO,81973,Individual Accident and Health,0.1,"-81,148",,
SUNSHINE STATE HLTH PLAN INC,13148,Individual Accident and Health,2.8,"-186,118",,
JACKSON NATL LIFE INS CO,65056,Individual Annuity,3.5,"1,135,801,104",7.7,0.46
ALLIANZ LIFE INS CO OF N AMER,90611,Individual Annuity,8.2,"943,075,691",6.4,1.29
